steamid,publisherclass,copiessold
21130,AA,707799
684450,AAA,259705
1267910,AA,584293
222940,Indie,652469
210770,AA,1080751
1222370,AA,240193
301910,AA,674828
1574360,Indie,89051
729040,AAA,337842
227860,Indie,423203
1302240,Indie,828825
2005010,AA,298886
319510,Indie,1687502
859570,AA,534201
647830,Indie,343206
527100,AAA,208119
320300,AA,1200285
1003590,Indie,224704
955050,Indie,1239602
498240,Indie,452674
503560,Indie,985628
844870,Indie,2570469
924980,AA,135639
1213740,Indie,451356
208200,AAA,657413
366090,Indie,311006
861540,Indie,606186
594330,Indie,260332
324160,Indie,224973
1948280,Indie,1362595
559100,AA,228438
1159690,Indie,217270
41500,AA,711601
1227530,AA,333084
12900,Indie,1204792
942970,Indie,1027185
746850,Indie,449917
857980,AA,251913
449800,AA,128240
469610,Indie,263874
204450,Indie,832980
1584090,Indie,575318
47790,AAA,614496
607050,AA,371650
1624540,AA,423134
774181,Indie,481163
1414850,Indie,228030
1105670,Indie,311499
236090,AAA,884355
1488200,Indie,267360
34270,AA,4253806
326360,Indie,441578
2239550,AAA,301222
403190,Indie,408281
2440510,AAA,82438
360170,AA,1050815
738520,Indie,440750
1009290,AA,127014
280160,Indie,663042
2058190,AA,137915
1737100,Indie,504156
1009560,AA,352646
1128810,Indie,5158905
252870,Indie,292227
1367550,Indie,386605
311260,AA,221140
280790,Indie,307561
9480,AA,1267534
291860,Indie,432695
846770,Indie,348318
357190,Indie,434211
872200,AA,1981310
2058180,AA,198552
793460,Indie,393394
233290,AA,701100
1593030,AA,246624
614570,AAA,404609
605740,Indie,383720
1128000,Indie,280084
287980,Indie,879531
632300,Indie,382389
335670,Indie,471018
1556790,Indie,299322
970830,Indie,208079
610180,Indie,319201
553640,Indie,754500
400910,Indie,311694
965580,Indie,172548
1353230,Indie,130512
438640,AA,373031
48720,AA,1528645
1509510,Indie,389997
1455630,Indie,366601
234650,AAA,1263000
